"corpus","deu_news_2008_10K"
"halte",8
"schutz",8
"tv",8
"«wenn",8
"westlb",8
"24.",8
"helfer",8
"kleiner",8
"schalke",8
"geringer",8
"geschaffen",8
"veränderungen",8
"herr",8
"folgte",8
"rat",8
"berufung",8
"gesetzlichen",8
"sprecherin",8
"personen",8
"stimmt",8
"stoppen",8
"stellvertretende",8
"street",8
"technische",8
"rücken",8
"20.",8
"aussage",8
"gutes",8
"verlieren",8
"australien",8
"stieß",8
"konjunktur",8
"kontrolle",8
"automatisch",8
"ach",8
"geraten",8
"eigener",8
"künstler",8
"leistungen",8
"trug",8
"eins",8
"liste",8
"eintritt",8
"projekte",8
"lösungen",8
"aktivitäten",8
"entfernt",8
"menge",8
"damaligen",8
"veranstalter",8
"grüne",8
"höchsten",8
"charttechnischer",8
"verstehen",8
"initiative",8
"enden",8
"26",8
"nötig",8
"weltmeister",8
"auflagen",8
"wirkung",8
"ypsilanti",8
"indes",8
"commerzbank",8
"vorsprung",8
"verbesserte",8
